buildA,buildB,labelA,labelB,seedIndex,seed,winner,durationSeconds,timeout,hpA,hpB
brawler-base,longshot-base,Brawler base,Longshot base,37,1744624403,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,38,1962733450,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,39,1979511069,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,40,4278486157,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,41,4261708538,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,42,4244930919,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,43,4228153300,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,44,4211375681,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,45,4194598062,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,46,4177820443,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,47,4161042824,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,48,4144265205,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,49,4127487586,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,50,4177673348,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,51,4194450967,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,52,4211228586,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,53,4228006205,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,54,4110562872,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,55,4127340491,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,56,4144118110,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,57,4160895729,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,58,4043452396,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,59,4060230015,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,60,1795795903,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,61,1779018284,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,62,1829351141,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,63,1812573522,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,64,1728685427,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,65,1711907808,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,66,1762240665,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,67,1745463046,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,68,1930016855,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,69,1913239236,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,70,1694983094,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,71,1711760713,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,72,1661427856,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,73,1678205475,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,74,1762093570,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,75,1778871189,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,76,1728538332,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,77,1745315951,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,78,1829204046,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,79,1845981665,a,14.25,false,40,0
brawler-base,gunner-base,Brawler base,Gunner base,0,2246142196,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,1,2262919815,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,2,2279697434,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,3,2296475053,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,4,2179031720,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,5,2195809339,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,6,2212586958,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,7,2229364577,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,8,2111921244,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,9,2128698863,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,10,198901269,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,11,182123650,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,12,165346031,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,13,148568412,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,14,131790793,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,15,115013174,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,16,98235555,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,17,81457936,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,18,333122221,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,19,316344602,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,20,299714078,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,21,316491697,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,22,266158840,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,23,282936459,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,24,366824554,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,25,383602173,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,26,333269316,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,27,350046935,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,28,165493126,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,29,182270745,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,30,400526887,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,31,383749268,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,32,434082125,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,33,417304506,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,34,333416411,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,35,316638792,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,36,366971649,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,37,350194030,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,38,266305935,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,39,249528316,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,40,231617864,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,41,248395483,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,42,265173102,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,43,281950721,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,44,298728340,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,45,315505959,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,46,332283578,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,47,349061197,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,48,97396912,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,49,114174531,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,50,332430673,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,51,315653054,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,52,298875435,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,53,282097816,b,13.15,false,0,27
