suite,targetBuild,opponentBuild,targetLabel,opponentLabel,orientation,seedIndex,seed,targetWon,winner,durationSeconds,timeout,hpA,hpB,powerUpTriggers,tier,winPoints
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,55,3402441332,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,56,1205732238,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,56,3452774189,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,57,1222509857,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,57,3435996570,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,58,1105066524,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,58,3217887523,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,59,1121844143,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,59,3201109904,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,60,3152377327,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,60,902134816,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,61,3135599708,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,61,918912435,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,62,3185932565,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,62,935690054,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,63,3169154946,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,63,952467673,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,64,3085266851,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,64,969245292,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,65,3068489232,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,65,986022911,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,66,3118822089,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,66,1002800530,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,67,3102044470,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,67,1019578149,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,68,3286598279,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,68,1036355768,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,69,3269820660,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,69,1053133387,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,70,904029286,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,70,1002947625,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,71,920806905,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,71,986170006,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,72,870474048,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,72,969392387,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,73,887251667,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,73,952614768,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,74,971139762,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,74,1070058101,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,75,987917381,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,75,1053280482,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,76,937584524,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,76,1036502863,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,77,954362143,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,77,1019725244,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,78,1038250238,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,78,1137168577,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-a,79,1055027857,true,a,13.45,false,0,0,0,,
role-matrix,brawler-base,brawler-base,Brawler base,Brawler base,target-b,79,1120390958,false,a,13.45,false,0,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,0,2780326176,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,0,1175130181,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,1,2797103795,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,1,1158352562,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,2,2813881414,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,2,1141574943,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,3,2830659033,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,3,1124797324,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,4,2847436652,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,4,1108019705,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,5,2864214271,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,5,1091242086,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,6,2880991890,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,6,1074464467,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,7,2897769509,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,7,1057686848,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,8,2914547128,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,8,1309351133,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,9,2931324747,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,9,1292573514,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,10,4149193785,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,10,845665958,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,11,4132416166,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,11,862443577,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,12,4115638547,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,12,812110720,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,13,4098860928,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,13,828888339,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,14,4216304261,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,14,912776434,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,15,4199526642,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,15,929554053,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,16,4182749023,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,16,879221196,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,17,4165971404,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,17,895998815,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,18,4283414737,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,18,979886910,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,19,4266637118,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,19,996664529,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,20,2102574530,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,20,1281736957,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,21,2119352149,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,21,1264959338,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,22,2069019292,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,22,1248181719,false,a,13.85,false,243,0,0,,
